year,entry_num,exit_num,name,entry_time,exit_time,total_time,elim_by,solo_elim,group_elim,illegal_elim,alignment,tag_overlap,tag_team,tag_partner,illegal_exit,accidental_exit,cum_elim,avg_cum_elim,world_champ,,cum_time,avg_cum_time,prev_app,us_champ,cruise_champ,break_begin,break_end,total_break,break,world_reigns,ic_reigns,us_reigns
1992,8,11,The Barbarian,00:14:47,00:27:43,,Hercules,0,0,0,heel,,1,The Warlord,0,,,,0,,,,,,,,,,,,,
1992,9,8,The Texas Tornado,00:16:56,00:26:16,,Ric Flair,0,0,0,face,,0,0,0,,,,1,,,,,,,,,,,,,
1992,10,6,Repo Man,00:19:02,00:25:27,,Big Boss Man,2,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1992,11,5,Greg Valentine,00:20:45,00:24:58,,Repo Man,0,0,0,face,,0,0,0,,,,0,,,,,,,,,,,,,
1992,12,4,Nikolai Volkoff,00:22:52,00:23:55,,Repo Man,0,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1992,13,13,Big Boss Man,00:24:44,00:28:22,,Ric Flair,2,0,0,face,,0,0,0,,,,0,,,,,,,,,,,,,
1992,14,12,Hercules,00:26:50,00:27:46,,Big Boss Man,1,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1992,15,26,Roddy Piper,00:29:00,01:03:07,,Sid Justice,1,0,0,face,,0,0,0,,,,0,,,,,,,,,,,,,
1992,16,15,Jake Roberts,00:31:03,00:41:59,,Randy Savage,0,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1992,17,19,Hacksaw Jim Duggan,00:33:10,00:53:57,,Virgil,1,0,0,face,,0,0,0,,,,0,,,,,,,,,,,,,
1992,18,23,Irwin R. Schyster,00:35:16,01:02:19,,Roddy Piper,0,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1992,19,14,Jimmy Snuka,00:37:14,00:39:41,,The Undertaker,0,0,0,face,,0,0,0,,,,0,,,,,,,,,,,,,
1992,20,17,The Undertaker,00:39:36,00:53:27,,Hulk Hogan,1,0,0,heel,,0,0,0,,,,1,,,,,,,,,,,,,
1992,21,27,Randy Savage,00:41:04,01:03:30,,"Ric Flair, Sid Justice",2,0,0,face,,0,0,0,,,,1,,,,,,,,,,,,,
1992,22,18,The Berzerker,00:44:35,00:53:35,,Hulk Hogan,0,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1992,23,20,Virgil,00:46:27,00:53:57,,Jim Duggan,1,0,0,face,,0,0,0,,,,0,,,,,,,,,,,,,
1992,24,16,Col. Mustafa,00:48:42,00:51:17,,Randy Savage,0,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1992,25,25,Rick Martel,00:50:28,01:03:07,,Sid Justice,1,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1992,26,28,Hulk Hogan,00:52:31,01:04:00,,Sid Justice,2,1,1,face,,0,0,0,,,,1,,,,,,,,,,,,,
1992,27,21,Skinner,00:54:33,00:56:46,,Rick Martel,0,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1992,28,22,Sgt. Slaughter,00:56:45,01:01:24,,Sid Justice,0,0,0,face,,0,0,0,,,,1,,,,,,,,,,,,,
1992,29,29,Sid Justice,00:58:36,01:04:30,,"Hulk Hogan, Ric Flair",4,2,0,face,,0,0,1,,,,0,,,,,,,,,,,,,
1992,30,24,The Warlord,01:01:00,01:02:42,,"Hulk Hogan, Sid Justice",0,0,0,heel,,1,The Barbarian,0,,,,0,,,,,,,,,,,,,
1993,1,4,Ric Flair,01:27:49,01:46:30,,Mr. Perfect,1,0,0,heel,,0,0,0,,,,1,,,,,,,,,,,,,
1993,2,28,Bob Backlund,01:27:49,02:29:04,,Yokozuna,2,0,0,face,,0,0,0,,,,1,,,,,,,01:54:35,02:01:30,,,,,
1993,3,1,Papa Shango,01:29:58,01:30:26,,Ric Flair,0,0,0,heel,,0,0,0,,,,0,,,,,,,,,,,,,
1993,4,13,Ted DiBiase,01:32:01,01:56:57,,The Undertaker,3,1,0,heel,,1,Irwin R. Schyster,0,,,,0,,,,,,,,,,,,,
1993,5,2,Brian Knobbs,01:33:52,01:36:51,,Ted DiBiase,0,0,0,face,,1,Jerry Sags,0,,,,0,,,,,,,,,,,,,
1993,6,7,Virgil,01:35:55,01:53:05,,The Berzerker,0,0,0,face,,0,0,0,,,,0,,,,,,,,,,,,,
1993,7,6,Jerry Lawler,01:38:09,01:52:45,,Mr. Perfect,1,0,1,heel,,0,0,0,,,,0,,,,,,,,,,,,,
