,year,entry_num,exit_num,name,entry_time,exit_time,total_time,elim_by,solo_elim,group_elim,illegal_elim,alignment,tag_overlap,tag_team,tag_partner,illegal_exit,accidental_exit,cum_elim,avg_cum_elim,world_champ,Unnamed: 20,cum_time,avg_cum_time,prev_app,us_champ,cruise_champ,euro_champ,total_elim
92,1991,13,8,Jimmy Snuka,1344,1831,487,Hawk,0,0,0,face,,0.0,0,0.0,,2.0,1.0,0,,1450.0,725.0,1.0,0.0,,,0
93,1991,14,27,The British Bulldog,1452,3661,2209,"Earthquake, Brian Knobbs",3,0,0,face,,0.0,0,0.0,,3.0,3.0,0,,2209.0,2209.0,0.0,0.0,,,3
94,1991,15,14,Smash,1574,2681,1107,Hulk Hogan,0,0,0,heel,,1.0,Crush,0.0,,2.0,0.0,0,,2303.0,767.0,2.0,0.0,,,0
95,1991,16,11,Hawk,1692,2091,399,"Rick Martel, Hercules",1,1,0,face,,1.0,Animal,0.0,,2.0,2.0,0,,399.0,399.0,0.0,0.0,,,2
96,1991,17,21,Shane Douglas,1814,3402,1588,Brian Knobbs,0,0,0,face,,0.0,0,0.0,,0.0,0.0,0,,1588.0,1588.0,0.0,0.0,,,0
97,1991,18,9,Randy Savage,1933,1933,0,DQ,0,0,0,heel,,0.0,0,0.0,,4.0,1.0,1,,1357.0,452.0,2.0,0.0,,,0
98,1991,19,12,Animal,2053,2453,400,Earthquake,0,1,0,face,,1.0,Hawk,0.0,,1.0,1.0,0,,400.0,400.0,0.0,0.0,,,1
99,1991,20,19,Crush,2176,3293,1117,Hulk Hogan,0,0,0,heel,,1.0,Smash,0.0,,0.0,0.0,0,,1117.0,1117.0,0.0,0.0,,,0
100,1991,21,13,Hacksaw Jim Duggan,2300,2584,284,Mr. Perfect,0,0,0,face,,0.0,0,0.0,,3.0,1.0,0,,1168.0,584.0,1.0,0.0,,,0
101,1991,22,29,Earthquake,2431,3917,1486,Hulk Hogan,3,1,0,heel ,,0.0,0,0.0,,6.0,3.0,0,,1636.0,818.0,1.0,0.0,,,4
102,1991,23,23,Mr. Perfect,2566,3542,976,The British Bulldog,0,0,0,heel,,0.0,0,0.0,,2.0,0.0,0,,2864.0,954.0,2.0,0.0,,,0
103,1991,24,30,Hulk Hogan,2658,3917,1259,Winner,7,0,0,face,,0.0,0,0.0,,23.0,7.0,1,,2720.0,906.0,2.0,0.0,,,7
104,1991,25,25,Haku,2781,3585,804,The British Bulldog,0,0,0,heel,,0.0,0,0.0,,2.0,1.0,0,,2158.0,1079.0,1.0,0.0,,,0
105,1991,26,24,Jim Neidhart,2898,3570,672,Rick Martel,0,0,0,face,,1.0,Bret Hart,0.0,,2.0,0.0,0,,2340.0,780.0,2.0,0.0,,,0
106,1991,27,17,Bushwhacker Luke,3037,3040,3,Earthquake,0,0,0,face,,0.0,0,0.0,,0.0,0.0,0,,201.0,100.0,1.0,0.0,,,0
107,1991,28,28,Brian Knobbs,3141,3749,608,Hulk Hogan,2,1,0,heel,,0.0,0,0.0,,3.0,3.0,0,,608.0,608.0,0.0,0.0,,,3
108,1991,29,20,The Warlord,3260,3356,96,Hulk Hogan,0,0,0,heel,,0.0,0,0.0,,0.0,0.0,0,,594.0,198.0,2.0,0.0,,,0
109,1991,30,22,Tugboat,3381,3533,152,Hulk Hogan,0,0,0,face,,0.0,0,0.0,,0.0,0.0,0,,152.0,152.0,0.0,0.0,,,0
110,1992,1,7,The British Bulldog,0,1416,1416,Ric Flair,3,0,0,face,,0.0,0,0.0,,6.0,3.0,0,,3625.0,1812.0,1.0,0.0,,,3
111,1992,2,1,Ted DiBiase,0,78,78,The British Bulldog,0,0,0,heel,,0.0,0,0.0,,6.0,2.0,0,,3273.0,1091.0,2.0,0.0,,,0
